,Channels,long,lat,arrival time
227,657.0,-121.885347628,37.3387992614,1342.54518524
228,658.0,-121.885338195,37.3388038254,1342.45391533
229,659.0,-121.885328882,37.3388083314,1342.36377873
230,660.0,-121.885319469,37.3388128859,1342.27267627
231,661.0,-121.885310855,37.3388170545,1342.18930892
232,662.0,-121.885301552,37.3388215559,1342.09929302
233,663.0,-121.885292223,37.3388260684,1342.01354884
234,664.0,-121.88528266,37.3388305747,1341.92868791
235,665.0,-121.885273106,37.3388350532,1341.83991649
236,666.0,-121.885263643,37.3388394892,1341.75119213
237,667.0,-121.885254115,37.3388439552,1341.66187492
238,668.0,-121.885244302,37.338848555,1341.56987113
239,669.0,-121.885234455,37.3388531712,1341.47755068
240,670.0,-121.885224453,37.3388578595,1341.38378432
241,671.0,-121.885214259,37.3388626384,1341.28820232
242,672.0,-121.8852051,37.3388669314,1341.2023648
243,673.0,-121.885197871,37.33887032,1341.13458786
244,674.0,-121.88519066,37.3388737002,1341.06683317
245,675.0,-121.885184252,37.3388767016,1340.99871342
246,676.0,-121.885177713,37.3388799222,1340.92639089
247,677.0,-121.885170094,37.3388836692,1340.85143632
248,678.0,-121.885162008,37.3388876459,1340.7719275
249,679.0,-121.885153436,37.3388918612,1340.68762134
250,680.0,-121.885144732,37.3388961424,1340.60197534
251,681.0,-121.885137425,37.3388997357,1340.53010121
252,682.0,-121.885131746,37.3389025292,1340.47424771
253,683.0,-121.885125864,37.338905422,1340.41640419
254,684.0,-121.885119579,37.3389085129,1340.35458419
255,685.0,-121.885112673,37.338911909,1340.2866591
256,686.0,-121.885103326,37.3389165056,1340.19471232
257,687.0,-121.885093493,37.3389213419,1340.098
258,688.0,-121.885083621,37.3389261958,1340.00388374
259,689.0,-121.885074199,37.338930749,1339.91006831
260,690.0,-121.88506509,37.3389351464,1339.81598402
261,691.0,-121.885055732,37.3389396642,1339.71918398
262,692.0,-121.885046081,37.3389443233,1339.61934066
263,693.0,-121.885036503,37.3389489476,1339.52024134
264,694.0,-121.885027034,37.3389535186,1339.42230957
265,695.0,-121.88501743,37.338958155,1339.32295046
266,696.0,-121.885008027,37.3389626947,1339.22567494
267,697.0,-121.88499893,37.3389670859,1339.13157292
268,698.0,-121.884990106,37.3389713462,1339.04028553
269,699.0,-121.8849814,37.3389755486,1338.95024837
270,700.0,-121.88497279,37.3389797052,1338.86116061
271,701.0,-121.884964424,37.3389837442,1338.77460276
272,702.0,-121.884955966,37.3389878274,1338.68712409
273,703.0,-121.884947615,37.3389918586,1338.60072905
274,704.0,-121.88493929,37.3389958778,1338.51460099
275,705.0,-121.884931021,37.3389998695,1338.42907432
276,706.0,-121.884922821,37.3390038281,1338.34423406
277,707.0,-121.884914538,37.3390078271,1338.25853805
278,708.0,-121.884905987,37.3390119552,1338.17009579
279,709.0,-121.884896778,37.3390164006,1338.07395724
280,710.0,-121.884887393,37.3390209524,1337.97402942
281,711.0,-121.884877827,37.3390256554,1337.87440315
282,712.0,-121.884868197,37.3390303884,1337.77647805
